Task Name,Description,List,Priority,Time Estimate (minutes),In ClickUp,Status
"Capture at session end","Timer completes -> 'Apa yang kamu pelajari?' -> one skippable field. Never a separate screen (D-011). This is what earns the timer its place in the MVP: it attacks capture cost, the exact thing the MVP exists to test (D-038).","MVP","urgent",240,"no","to do"
"VPS deploy","docker-compose.prod.yml on the external shared network, Caddy for TLS and hostname routing, provision konku DB + role + vector/pg_trgm extensions. App connects as konku, never as postgres.","MVP","high",180,"no","to do"
"Nightly backups off the VPS","Per-database pg_dump -Fc konku (not pg_dumpall) + restic to B2/S3. A backup on the same machine as the database is not a backup. Non-negotiable even in the MVP.","MVP","urgent",120,"no","to do"
"Use it daily for two weeks","Not a build task. The MVP exists to answer one question: do you actually write notes and cards? If capture is not happening, fix that before building anything else (D-030).","MVP","urgent",0,"no","to do"
"Public signup and password reset","Signup handler behind ALLOW_SIGNUP, password reset flow. Needs SMTP - the dependency that kept it out of the MVP.","v0.2","normal",480,"no","to do"
"Postgres RLS as defense in depth","Row-level security on owned tables. Application-level WHERE user_id scoping stays the primary control; this is belt and braces. Needs SET LOCAL per transaction with a shared pool - correct but not MVP-blocking.","v0.2","normal",180,"no","to do"
"Cloze and feynman card types","Extend the parser to {{cloze}} and > [!feynman]. Cheap once the stable-ID machinery exists.","v0.2","high",180,"no","to do"
"Domains seed and filtering","Five domains with Indonesian labels, colors, weekly quotas - including coding at quota 0 (D-034). Tag notes, filter lists. Read-only, no editor (D-015).","v0.2","normal",180,"no","to do"
"Note full-text search","GET /api/notes?q= via the generated tsvector column, pg_trgm for fuzzy titles.","v0.2","normal",180,"no","to do"
"Mark card mastered manually","Set state=mastered at any stage, retiring the card while keeping its history. Sometimes you just know (D-008).","v0.2","low",60,"no","to do"
"Home screen","One click to start. Due count surfaced calmly - no red, no alarm.","v0.2","normal",240,"no","to do"
"API token auth for machine clients","Bearer tokens so the MCP server can call the HTTP API. Scoped to a user like any other credential. MCP never touches Postgres directly.","v0.3","high",180,"no","to do"
"MCP server","Separate Go binary in cmd/konku-mcp exposing notes and review operations as MCP tools over the HTTP API. add_card wraps card.Insert, so agent and UI paths cannot drift (D-033). Zero LLM cost, immediately useful with an existing Claude subscription.","v0.3","urgent",600,"no","to do"
"LLM provider interface","Provider-agnostic interface + Anthropic client. Keys via env, never in the repo.","v0.3","high",240,"no","to do"
"Generate cards from a note","Model proposes 3-5 cards, user accepts / edits / rejects. Attacks capture cost - the biggest risk to the product. Highest-value AI feature by a wide margin (D-016).","v0.3","urgent",480,"no","to do"
"LLM-graded Feynman recall","User types recall from memory, model reports what was missed, user still presses ingat/lupa. The model INFORMS, never rates (D-036). The differentiating feature.","v0.3","urgent",600,"no","to do"
"Semantic search with pgvector","Embeddings on notes, similarity endpoint, UI surface. Extension already enabled at DB creation.","v0.3","normal",480,"no","to do"
"Background job queue","Async LLM and embedding work. Evaluate Redis here - the first legitimate reason for it (D-023).","v0.3","normal",360,"no","to do"
"PWA: installable and offline reads","Manifest, service worker, cached shell, offline reads. NOT offline writes - sync with conflict resolution is a project of its own.","Later","normal",480,"no","to do"
"Retention metric","Reviews at 30d+ intervals rated ingat vs lupa. 'Kamu masih ingat 38 dari 45 topik dari 3 bulan lalu.' The headline number (D-004).","Later","high",300,"no","to do"
"Progressive focus","After 5 consecutive completed sessions the next duration up becomes the pre-selected default. Suggests, never challenges - no celebration, no level-up (D-037).","Later","normal",360,"no","to do"
"Weekly quota, strip and week streak","Quota fill any order any day. 7-day strip as texture. Streak counted in WEEKS, complete at >=4 sessions (D-006, D-007, D-035). Nothing losable.","Later","normal",480,"no","to do"
"CodeMirror 6 editor","Markdown mode with inline decoration, replacing the textarea. What Obsidian is built on. Markdown stays source of truth (D-018).","Later","normal",480,"no","to do"
"Wikilinks and backlinks","[[note]] autocomplete, link parsing, backlinks panel.","Later","low",480,"no","to do"
"Git vault export","Background job writing the vault to /var/lib/konku/vault/*.md and committing. STRICTLY one-way (D-026).","Later","normal",300,"no","to do"
"Activity log","Reverse-chronological sessions, reviews, quota fills. Pure scaffolding.","Later","low",240,"no","to do"
